Date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2,isin_ozone_for_home_team,isin_ozone_for_away_team,zone_entry_success,Position,is_forward,Entry_Type,Game,Dumped,Played,Carried,timeline,us_powerplay,canada_powerplay,Y_coordinate_centered,Blayre Turnbull,Emma Maltais,Savannah Harmon,Abbey Murphy,Jamie Lee Rattray,Ashton Bell,Cayla Barnes,Hilary Knight,Jessie Eldridge,Julia Gosling,Taylor Heise,Jamie Bourbonnais,Rory Guilday,Sarah Nurse,Brianne Jenner,Jessica DiGirolamo,Sarah Fillier,Ella Shelton,Rebecca Gilmore,Grace Zumwinkle,Hayley Scamurra,Renata Fast,Megan Keller,Jocelyne Larocque,Marie-Philip Poulin,Kelly Pannek,Britta Curl,Lacey Eden,Alex Carpenter,Abby Roque,Tessa Janecke,Hannah Bilka,Laura Stacey,Kristin O'Neill,Haley Winn,Gabbie Hughes,Emily Clark,Erin Ambrose,Natalie Buchbinder,Sophie Jaques,Laila Edwards,Kirsten Simms,Caroline Harvey,Anna Wilgren,Nicole Gosling,Loren Gabel,Danielle Serdachny,Jennifer Gardiner,Anne Cherkowski,Allyson Simpson,Casey O'Brien,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2023-11-08,Women - United States,Women - Canada,1,19:36,5,5,0,0,Women - Canada,Blayre Turnbull,Zone Entry,125,6,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,24,0,0,-36.5,1.0,1.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962682367177343,1.0874257731009374,0.5623178612286821,1.3927878655428214,0.4161298725919634
2023-11-08,Women - United States,Women - Canada,1,19:23,5,5,0,0,Women - United States,Hilary Knight,Zone Entry,125,52,Dumped,,,,Erin Ambrose,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,37,0,0,9.5,1.0,1.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9669675381458438,1.0953123812690089,0.7229337933105662,1.121503652298398,0.558116392087119
2023-11-08,Women - United States,Women - Canada,1,19:18,5,5,0,0,Women - Canada,Sarah Fillier,Zone Entry,125,80,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,42,0,0,37.5,1.0,1.0,0.0,1,0.0,0.0,1.0,1,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.267935514722924,1.141730458912496,1.6540477326956005,1.0193899188526632,0.6187749489078749
2023-11-08,Women - United States,Women - Canada,1,18:56,5,5,0,0,Women - United States,Hannah Bilka,Zone Entry,126,84,Played,,,,Ashton Bell,,,True,False,False,F,True,Played,2023-11-08,False,True,False,64,0,0,41.5,0.0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0034403416080184,0.7156504788055265,1.8118592140416157,0.4601543841515597,0.5836780650989728
2023-11-08,Women - United States,Women - Canada,1,18:48,5,5,0,0,Women - Canada,Brianne Jenner,Zone Entry,125,63,Carried,,,,Savannah Harmon,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,72,0,0,20.5,0.0,0.0,1.0,0,0.0,1.0,1.0,0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023066258535433,0.7060569335921106,1.832884669571978,0.4557928866965406,0.5650023461686153
2023-11-08,Women - United States,Women - Canada,1,18:23,5,5,0,0,Women - United States,Alex Carpenter,Zone Entry,125,16,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,97,0,0,-26.5,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.0,1.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0418660685611407,0.592269639494533,0.7355313801303293,1.3367866978358134,0.9324160916447352
2023-11-08,Women - United States,Women - Canada,1,18:01,5,5,0,0,Women - United States,Natalie Buchbinder,Zone Entry,126,83,Dumped,,,,Jocelyne Larocque,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,119,0,0,40.5,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0377696309694222,0.7849145012433651,0.6967406346812354,1.2020355779952356,0.927220086603579
2023-11-08,Women - United States,Women - Canada,1,17:51,5,5,0,0,Women - Canada,Jessie Eldridge,Zone Entry,125,50,Dumped,,,,Megan Keller,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,129,0,0,7.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8674490001606356,0.8727118713831447,0.5340481274194052,1.1090398873149383,1.309777735783875
2023-11-08,Women - United States,Women - Canada,1,17:44,5,5,0,0,Women - United States,Grace Zumwinkle,Zone Entry,125,81,Carried,,,,Ella Shelton,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,136,0,0,38.5,0.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811937680416768,1.091745889923455,0.545288924555518,0.4598510243448506,2.27917910531408
2023-11-08,Women - United States,Women - Canada,1,17:30,5,5,0,0,Women - Canada,Jamie Lee Rattray,Zone Entry,125,5,Played,,,,Haley Winn,,,False,True,False,F,True,Played,2023-11-08,False,True,False,150,0,0,-37.5,0.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424431742817344,1.1199046197740776,0.4376007558477661,0.4206002853269408,2.486709846337269
